----------------------------------------------------------------------------------------
Epoch 4/100 | Train Loss: 0.9144, Train Acc: 0.6848 | Val Loss: 0.8075, Val Acc: 0.7186
Epoch 5/100 | Train Loss: 0.8433, Train Acc: 0.7095 | Val Loss: 0.7584, Val Acc: 0.7382
Epoch 6/100 | Train Loss: 0.7868, Train Acc: 0.7286 | Val Loss: 0.7281, Val Acc: 0.7508
Epoch 7/100 | Train Loss: 0.7478, Train Acc: 0.7424 | Val Loss: 0.6757, Val Acc: 0.7690
Epoch 8/100 | Train Loss: 0.7133, Train Acc: 0.7547 | Val Loss: 0.6545, Val Acc: 0.7794
Epoch 9/100 | Train Loss: 0.6869, Train Acc: 0.7634 | Val Loss: 0.6465, Val Acc: 0.7781
Epoch 10/100 | Train Loss: 0.6668, Train Acc: 0.7705 | Val Loss: 0.6424, Val Acc: 0.7860
Epoch 11/100 | Train Loss: 0.6410, Train Acc: 0.7806 | Val Loss: 0.6541, Val Acc: 0.7789
Epoch 12/100 | Train Loss: 0.6266, Train Acc: 0.7844 | Val Loss: 0.6033, Val Acc: 0.7932
Epoch 13/100 | Train Loss: 0.6065, Train Acc: 0.7917 | Val Loss: 0.5910, Val Acc: 0.7970
Epoch 14/100 | Train Loss: 0.5870, Train Acc: 0.7977 | Val Loss: 0.6044, Val Acc: 0.7949
Epoch 15/100 | Train Loss: 0.5806, Train Acc: 0.8001 | Val Loss: 0.5695, Val Acc: 0.8038
Epoch 16/100 | Train Loss: 0.5646, Train Acc: 0.8047 | Val Loss: 0.5864, Val Acc: 0.8013
Epoch 17/100 | Train Loss: 0.5512, Train Acc: 0.8109 | Val Loss: 0.5885, Val Acc: 0.8021
Epoch 18/100 | Train Loss: 0.5436, Train Acc: 0.8127 | Val Loss: 0.5578, Val Acc: 0.8125
Epoch 19/100 | Train Loss: 0.5329, Train Acc: 0.8163 | Val Loss: 0.6040, Val Acc: 0.7991
Epoch 20/100 | Train Loss: 0.5224, Train Acc: 0.8207 | Val Loss: 0.5941, Val Acc: 0.8052
Epoch 21/100 | Train Loss: 0.5156, Train Acc: 0.8218 | Val Loss: 0.5559, Val Acc: 0.8177
Epoch 22/100 | Train Loss: 0.5087, Train Acc: 0.8242 | Val Loss: 0.6011, Val Acc: 0.8021
Epoch 23/100 | Train Loss: 0.5084, Train Acc: 0.8249 | Val Loss: 0.5750, Val Acc: 0.8096
Epoch 24/100 | Train Loss: 0.4913, Train Acc: 0.8311 | Val Loss: 0.5557, Val Acc: 0.8173
Epoch 25/100 | Train Loss: 0.4849, Train Acc: 0.8335 | Val Loss: 0.5704, Val Acc: 0.8127
Epoch 26/100 | Train Loss: 0.4801, Train Acc: 0.8349 | Val Loss: 0.5388, Val Acc: 0.8194
Epoch 27/100 | Train Loss: 0.4759, Train Acc: 0.8354 | Val Loss: 0.5549, Val Acc: 0.8191
Epoch 28/100 | Train Loss: 0.4639, Train Acc: 0.8405 | Val Loss: 0.5747, Val Acc: 0.8118
Epoch 29/100 | Train Loss: 0.4622, Train Acc: 0.8400 | Val Loss: 0.5660, Val Acc: 0.8154
Epoch 30/100 | Train Loss: 0.4615, Train Acc: 0.8410 | Val Loss: 0.5646, Val Acc: 0.8193
Epoch 31/100 | Train Loss: 0.4516, Train Acc: 0.8443 | Val Loss: 0.5732, Val Acc: 0.8178
Epoch 32/100 | Train Loss: 0.4466, Train Acc: 0.8463 | Val Loss: 0.5740, Val Acc: 0.8128
Epoch 33/100 | Train Loss: 0.3882, Train Acc: 0.8672 | Val Loss: 0.5078, Val Acc: 0.8370
Epoch 34/100 | Train Loss: 0.3667, Train Acc: 0.8743 | Val Loss: 0.5218, Val Acc: 0.8328
Epoch 35/100 | Train Loss: 0.3565, Train Acc: 0.8779 | Val Loss: 0.5229, Val Acc: 0.8373
Epoch 36/100 | Train Loss: 0.3517, Train Acc: 0.8787 | Val Loss: 0.5167, Val Acc: 0.8372
Epoch 37/100 | Train Loss: 0.3471, Train Acc: 0.8809 | Val Loss: 0.5331, Val Acc: 0.8327
Epoch 38/100 | Train Loss: 0.3450, Train Acc: 0.8818 | Val Loss: 0.5331, Val Acc: 0.8359
Epoch 39/100 | Train Loss: 0.3401, Train Acc: 0.8831 | Val Loss: 0.5445, Val Acc: 0.8310
Epoch 40/100 | Train Loss: 0.3388, Train Acc: 0.8834 | Val Loss: 0.5375, Val Acc: 0.8341
Epoch 41/100 | Train Loss: 0.3350, Train Acc: 0.8851 | Val Loss: 0.5431, Val Acc: 0.8344
Epoch 42/100 | Train Loss: 0.3124, Train Acc: 0.8931 | Val Loss: 0.5290, Val Acc: 0.8391
Epoch 43/100 | Train Loss: 0.3035, Train Acc: 0.8963 | Val Loss: 0.5250, Val Acc: 0.8400
Epoch 44/100 | Train Loss: 0.3016, Train Acc: 0.8973 | Val Loss: 0.5270, Val Acc: 0.8395
Epoch 45/100 | Train Loss: 0.2982, Train Acc: 0.8978 | Val Loss: 0.5354, Val Acc: 0.8372
Epoch 46/100 | Train Loss: 0.2951, Train Acc: 0.8990 | Val Loss: 0.5357, Val Acc: 0.8394
Epoch 47/100 | Train Loss: 0.2924, Train Acc: 0.9000 | Val Loss: 0.5317, Val Acc: 0.8392
Epoch 48/100 | Train Loss: 0.2940, Train Acc: 0.8990 | Val Loss: 0.5370, Val Acc: 0.8385
Epoch 49/100 | Train Loss: 0.2919, Train Acc: 0.9001 | Val Loss: 0.5400, Val Acc: 0.8376
